Name,Team,Position,Games,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points,Year
Mike Evans,TB,WR,16,173,96,55.5,1321,12,45,7.6,13.8,0,0,0.0,0,0,0,13.0,208.1,2016
Jordy Nelson,GB,WR,16,152,97,63.8,1257,14,60,8.3,13.0,0,0,0.0,0,1,1,13.0,207.7,2016
Antonio Brown,PIT,WR,15,154,106,68.8,1284,12,51,8.3,12.1,3,9,3.0,0,0,0,13.4,201.3,2016
Odell Beckham Jr.,NYG,WR,16,169,101,59.8,1367,10,75,8.1,13.5,1,9,9.0,0,3,1,12.2,195.6,2016
T.Y. Hilton,IND,WR,16,155,91,58.7,1448,6,63,9.3,15.9,0,0,0.0,0,0,0,11.4,182.8,2016
Julio Jones,ATL,WR,14,129,83,64.3,1409,6,75,10.9,17.0,0,0,0.0,0,0,0,12.6,176.9,2016
Davante Adams,GB,WR,16,121,75,62.0,997,12,66,8.2,13.3,0,0,0.0,0,2,1,10.7,171.7,2016
Brandin Cooks,NO,WR,16,117,78,66.7,1173,8,98,10.0,15.0,6,30,5.0,0,1,0,10.5,168.3,2016
Michael Thomas,NO,WR,15,121,92,76.0,1137,9,46,9.4,12.4,0,0,0.0,0,2,2,10.9,163.7,2016
Doug Baldwin,SEA,WR,16,125,94,75.2,1128,7,59,9.0,12.0,3,2,0.7,0,1,0,10.0,159.6,2016
Michael Crabtree,LV,WR,16,145,89,61.4,1003,8,56,6.9,11.3,0,0,0.0,0,1,0,9.4,150.3,2016
Amari Cooper,LV,WR,16,131,82,62.6,1149,5,64,8.8,14.0,1,0,0.0,0,2,0,9.3,148.9,2016
Tyrell Williams,LAC,WR,16,119,69,58.0,1059,7,51,8.9,15.3,0,0,0.0,0,0,0,9.2,147.9,2016
Rishard Matthews,TEN,WR,16,108,65,60.2,945,9,60,8.8,14.5,0,0,0.0,0,1,1,9.2,146.5,2016
Tyreek Hill,KC,WR,16,83,61,73.5,593,6,49,7.1,9.7,24,267,11.1,3,4,1,8.6,138.0,2016
Jarvis Landry,MIA,WR,16,131,94,71.8,1136,4,71,8.7,12.1,5,17,3.4,0,2,2,8.6,137.3,2016
Larry Fitzgerald,ARI,WR,16,150,107,71.3,1023,6,32,6.8,9.6,2,5,2.5,0,2,1,8.6,136.8,2016
Terrelle Pryor,CLE,WR,16,140,77,55.0,1007,4,54,7.2,13.1,8,21,2.6,1,1,0,8.5,136.44,2016
Demaryius Thomas,DEN,WR,16,144,90,62.5,1083,5,55,7.5,12.0,0,0,0.0,0,2,2,8.5,136.3,2016
Kelvin Benjamin,CAR,WR,16,118,63,53.4,941,7,50,8.0,14.9,0,0,0.0,0,1,1,8.4,134.1,2016
Emmanuel Sanders,DEN,WR,16,137,79,57.7,1032,5,64,7.5,13.1,1,4,4.0,0,1,0,8.4,133.6,2016
Julian Edelman,NE,WR,16,159,98,61.6,1106,3,77,7.0,11.3,12,57,4.8,0,3,2,8.3,132.3,2016
Golden Tate,DET,WR,16,135,91,67.4,1077,4,67,8.0,11.8,10,4,0.4,0,2,1,8.3,132.1,2016
Mike Wallace,BAL,WR,16,116,72,62.1,1017,4,95,8.8,14.1,5,31,6.2,0,1,0,8.2,130.8,2016
Dez Bryant,DAL,WR,13,96,50,52.1,796,8,56,8.3,15.9,0,0,0.0,0,1,1,10.0,130.0,2016
Kenny Britt,LAR,WR,15,111,68,61.3,1002,5,66,9.0,14.7,0,0,0.0,0,2,1,8.5,128.2,2016
Kenny Stills,MIA,WR,16,81,42,51.9,726,9,74,9.0,17.3,0,0,0.0,0,0,0,7.9,126.6,2016
Allen Robinson II,JAX,WR,16,151,73,48.3,883,6,42,5.8,12.1,0,0,0.0,0,1,0,7.9,126.3,2016
Adam Thielen,MIN,WR,16,92,69,75.0,967,5,71,10.5,14.0,2,15,7.5,0,2,1,7.9,126.2,2016
DeSean Jackson,WAS,WR,15,100,56,56.0,1005,4,80,10.0,17.9,0,0,0.0,0,0,0,8.3,124.5,2016
Jamison Crowder,WAS,WR,16,99,67,67.7,847,7,55,8.6,12.6,2,-2,-1.0,0,2,1,7.8,124.5,2016
Pierre Garcon,WAS,WR,16,114,79,69.3,1041,3,70,9.1,13.2,0,0,0.0,0,0,0,7.6,122.1,2016
Brandon LaFell,CIN,WR,16,107,64,59.8,862,6,86,8.1,13.5,1,-2,-2.0,0,0,0,7.6,122.0,2016
A.J. Green,CIN,WR,10,100,66,66.0,964,4,54,9.6,14.6,0,0,0.0,0,0,0,12.0,120.4,2016
Willie Snead IV,NO,WR,15,104,72,69.2,895,4,49,8.6,12.4,0,0,0.0,0,2,0,8.0,119.5,2016
DeAndre Hopkins,HOU,WR,16,151,78,51.7,954,4,51,6.3,12.2,0,0,0.0,0,0,0,7.5,119.4,2016
Sterling Shepard,NYG,WR,16,105,65,61.9,683,8,32,6.5,10.5,3,31,10.3,0,0,0,7.5,119.4,2016
Marvin Jones Jr.,DET,WR,15,103,55,53.4,930,4,73,9.0,16.9,1,3,3.0,0,0,0,7.8,117.3,2016
Cole Beasley,DAL,WR,16,98,75,76.5,833,5,47,8.5,11.1,1,7,7.0,0,0,0,7.1,114.0,2016
Steve Smith,BAL,WR,14,101,70,69.3,799,5,52,7.9,11.4,0,0,0.0,0,0,0,8.1,113.9,2016
Cameron Meredith,CHI,WR,14,97,66,68.0,888,4,50,9.2,13.5,1,6,6.0,0,3,2,8.1,113.48,2016
Quincy Enunwa,NYJ,WR,16,105,58,55.2,857,4,69,8.2,14.8,2,21,10.5,0,0,0,7.0,111.8,2016
Marqise Lee,JAX,WR,16,105,63,60.0,851,3,51,8.1,13.5,6,35,5.8,0,1,1,6.8,109.4,2016
Stefon Diggs,MIN,WR,13,112,84,75.0,903,3,46,8.1,10.8,3,10,3.3,0,0,0,8.4,109.3,2016
Anquan Boldin,DET,WR,16,95,67,70.5,584,8,35,6.1,8.7,0,0,0.0,0,0,0,6.6,106.4,2016
J.J. Nelson,ARI,WR,15,74,34,45.9,568,6,80,7.7,16.7,4,83,20.8,1,1,1,7.0,105.1,2016
Ted Ginn Jr.,CAR,WR,16,95,54,56.8,752,4,88,7.9,13.9,14,98,7.0,0,3,2,6.6,105.0,2016
Taylor Gabriel,ATL,WR,13,50,35,70.0,579,6,76,11.6,16.5,4,51,12.8,1,0,0,8.1,105.0,2016
