Name,Team,Position,Games,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points,Year
Dez Bryant,DAL,WR,16,132,69,52.3,838,6,50,6.3,12.1,1,-4,-4.0,0,1,1,7.3,117.4,2017
Kenny Stills,MIA,WR,16,105,58,55.2,847,6,61,8.1,14.6,0,0,0.0,0,4,2,7.3,116.7,2017
Cooper Kupp,LAR,WR,15,94,62,66.0,869,5,64,9.2,14.0,0,0,0.0,0,1,1,7.7,114.9,2017
Michael Crabtree,LV,WR,14,101,58,57.4,618,8,41,6.1,10.7,0,0,0.0,0,1,0,8.1,113.8,2017
Marquise Goodwin,SF,WR,16,105,56,53.3,962,2,83,9.2,17.2,4,44,11.0,0,0,0,7.0,112.6,2017
Jermaine Kearse,NYJ,WR,16,102,65,63.7,810,5,51,7.9,12.5,0,0,0.0,0,1,0,6.9,111.0,2017
Amari Cooper,LV,WR,14,96,48,50.0,680,7,87,7.1,14.2,1,4,4.0,0,1,0,7.9,110.4,2017
Mohamed Sanu,ATL,WR,15,96,67,69.8,703,5,25,7.3,10.5,4,10,2.5,0,0,0,7.2,107.34,2017
Robert Woods,LAR,WR,12,85,56,65.9,781,5,94,9.2,13.9,2,12,6.0,0,1,1,8.9,107.3,2017
Sammy Watkins,LAR,WR,15,70,39,55.7,593,8,67,8.5,15.2,0,0,0.0,0,0,0,7.2,107.3,2017
Ted Ginn Jr.,NO,WR,15,70,53,75.7,787,4,54,11.2,14.8,10,39,3.9,0,2,0,7.1,106.6,2017
Paul Richardson,SEA,WR,16,80,44,55.0,703,6,61,8.8,16.0,0,0,0.0,0,0,0,6.6,106.3,2017
Rishard Matthews,TEN,WR,14,87,53,60.9,795,4,75,9.1,15.0,1,-3,-3.0,0,0,0,7.4,103.2,2017
Mike Wallace,BAL,WR,15,92,52,56.5,748,4,66,8.1,14.4,1,4,4.0,0,0,0,6.6,99.2,2017
Tyrell Williams,LAC,WR,16,69,43,62.3,728,4,75,10.6,16.9,0,0,0.0,0,1,1,5.9,94.8,2017
Jamison Crowder,WAS,WR,15,103,66,64.1,789,3,41,7.7,12.0,7,34,4.9,0,6,3,6.3,94.3,2017
Randall Cobb,GB,WR,15,92,66,71.7,653,4,46,7.1,9.9,9,17,1.9,0,1,0,6.2,93.4,2017
Marqise Lee,JAX,WR,14,96,56,58.3,702,3,45,7.3,12.5,1,17,17.0,0,1,0,6.6,91.9,2017
Keelan Cole Sr.,JAX,WR,16,83,42,50.6,748,3,75,9.0,17.8,0,0,0.0,0,2,1,5.7,90.8,2017
Travis Benjamin,LAC,WR,16,65,34,52.3,567,4,62,8.7,16.7,13,96,7.4,0,2,0,5.6,90.3,2017
DeSean Jackson,TB,WR,14,90,50,55.6,668,3,41,7.4,13.4,3,38,12.7,0,0,0,6.3,88.6,2017
Kelvin Benjamin,BUF,WR,14,78,48,61.5,692,3,43,8.9,14.4,0,0,0.0,0,0,0,6.2,87.2,2017
Sterling Shepard,NYG,WR,11,84,59,70.2,731,2,77,8.7,12.4,4,4,1.0,0,1,0,7.8,85.5,2017
William Fuller V,HOU,WR,10,50,28,56.0,423,7,59,8.5,15.1,2,9,4.5,0,0,0,8.5,85.2,2017
Josh Doctson,WAS,WR,16,78,35,44.9,502,6,52,6.4,14.3,1,-14,-14.0,0,0,0,5.3,84.8,2017
Jordy Nelson,GB,WR,15,88,53,60.2,482,6,58,5.5,9.1,0,0,0.0,0,0,0,5.6,84.2,2017
Martavis Bryant,PIT,WR,15,84,50,59.5,603,3,51,7.2,12.1,6,22,3.7,0,0,0,5.5,82.5,2017
Ryan Grant,WAS,WR,16,65,45,69.2,573,4,40,8.8,12.7,0,0,0.0,0,0,0,5.1,81.3,2017
Danny Amendola,NE,WR,15,87,61,70.1,659,2,27,7.6,10.8,0,0,0.0,0,2,0,5.2,77.9,2017
Chris Hogan,NE,WR,9,59,34,57.6,439,5,47,7.4,12.9,3,17,5.7,0,0,0,8.4,75.6,2017
Albert Wilson,KC,WR,13,62,42,67.7,554,3,63,8.9,13.2,3,6,2.0,0,0,0,5.7,74.0,2017
Tyler Lockett,SEA,WR,16,71,45,63.4,555,2,74,7.8,12.3,10,58,5.8,0,0,0,4.6,73.3,2017
DeVante Parker,MIA,WR,13,96,57,59.4,670,1,36,7.0,11.8,0,0,0.0,0,1,0,5.6,73.0,2017
Brandon LaFell,CIN,WR,16,89,52,58.4,548,3,45,6.2,10.5,0,0,0.0,0,1,0,4.6,72.8,2017
Jaron Brown,ARI,WR,16,69,31,44.9,477,4,52,6.9,15.4,0,0,0.0,0,0,0,4.5,71.7,2017
Ty Montgomery II,GB,WR,8,31,23,74.2,173,1,23,5.6,7.5,71,273,3.8,3,0,0,8.6,68.6,2017
Adam Humphries,TB,WR,16,83,61,73.5,631,1,43,7.6,10.3,1,6,6.0,0,1,1,4.2,67.7,2017
Emmanuel Sanders,DEN,WR,12,92,47,51.1,555,2,38,6.0,11.8,0,0,0.0,0,0,0,5.6,67.5,2017
Kendall Wright,CHI,WR,16,91,59,64.8,614,1,22,6.7,10.4,0,0,0.0,0,0,0,4.2,67.4,2017
Deonte Thompson,BUF,WR,16,68,38,55.9,555,2,46,8.2,14.6,2,-5,-2.5,0,1,0,4.2,67.0,2017
Kenny Golladay,DET,WR,11,48,28,58.3,477,3,54,9.9,17.0,1,9,9.0,0,0,0,6.1,66.6,2017
J.J. Nelson,ARI,WR,16,61,29,47.5,508,2,46,8.3,17.5,3,37,12.3,0,1,1,4.0,64.5,2017
Eric Decker,TEN,WR,16,83,54,65.1,563,1,29,6.8,10.4,0,0,0.0,0,0,0,3.9,62.3,2017
Jeremy Maclin,BAL,WR,12,72,40,55.6,440,3,48,6.1,11.0,0,0,0.0,0,0,0,5.2,62.0,2017
Allen Hurns,JAX,WR,10,56,39,69.6,484,2,50,8.6,12.4,0,0,0.0,0,0,0,6.0,60.4,2017
Chris Godwin,TB,WR,16,55,34,61.8,525,1,70,9.5,15.4,0,0,0.0,0,0,0,3.7,58.5,2017
Terrance Williams,DAL,WR,16,77,53,68.8,568,0,56,7.4,10.7,2,15,7.5,0,0,0,3.6,58.3,2017
Cole Beasley,DAL,WR,15,63,36,57.1,314,4,54,5.0,8.7,0,0,0.0,0,0,0,3.7,55.4,2017
Torrey Smith,PHI,WR,16,68,36,52.9,430,2,59,6.3,11.9,1,-3,-3.0,0,0,0,3.4,54.7,2017
Roger Lewis,NYG,WR,15,72,36,50.0,416,2,34,5.8,11.6,0,0,0.0,0,0,0,3.6,53.6,2017
Bennie Fowler,DEN,WR,16,56,29,51.8,350,3,29,6.2,12.1,0,0,0.0,0,1,0,3.3,53.0,2017
Trent Taylor,SF,WR,15,60,43,71.7,430,2,33,7.2,10.0,0,0,0.0,0,1,1,3.5,53.0,2017
Donte Moncrief,IND,WR,12,47,26,55.3,391,2,60,8.3,15.0,0,0,0.0,0,0,0,4.3,51.1,2017
Brandon Coleman,NO,WR,16,37,23,62.2,364,3,54,9.8,15.8,0,0,0.0,0,2,2,3.2,50.4,2017
Pierre Garcon,SF,WR,8,67,40,59.7,500,0,59,7.5,12.5,0,0,0.0,0,0,0,6.2,50.0,2017
Brice Butler,DAL,WR,13,24,15,62.5,317,3,53,13.2,21.1,0,0,0.0,0,0,0,3.8,49.7,2017
Odell Beckham Jr.,NYG,WR,4,41,25,61.0,302,3,48,7.4,12.1,1,8,8.0,0,0,0,12.2,49.0,2017
John Brown,ARI,WR,10,55,21,38.2,299,3,52,5.4,14.2,1,10,10.0,0,0,0,4.9,48.9,2017
