Name,Team,Position,Games,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points,Year
Jarvis Landry,MIA,WR,16,166,110,66.3,1157,4,50,7.0,10.5,18,113,6.3,1,1,0,10.0,159.36,2015
Sammy Watkins,BUF,WR,13,96,60,62.5,1047,9,63,10.9,17.4,1,1,1.0,0,0,0,12.2,158.8,2015
Jeremy Maclin,KC,WR,15,124,87,70.2,1088,8,61,8.8,12.5,3,14,4.7,0,2,1,10.4,156.2,2015
Emmanuel Sanders,DEN,WR,15,137,76,55.5,1135,6,75,8.3,14.9,3,29,9.7,0,2,2,9.9,148.4,2015
Michael Crabtree,LV,WR,16,146,85,58.2,922,9,38,6.3,10.8,0,0,0.0,0,1,0,9.1,146.2,2015
John Brown,ARI,WR,15,101,65,64.4,1003,7,68,9.9,15.4,3,22,7.3,0,2,1,9.5,142.5,2015
T.Y. Hilton,IND,WR,16,134,69,51.5,1124,5,87,8.4,16.3,0,0,0.0,0,1,0,8.9,142.4,2015
James Jones,GB,WR,16,99,50,50.5,890,8,65,9.0,17.8,0,0,0.0,0,1,0,8.8,141.0,2015
Tavon Austin,LAR,WR,16,87,52,59.8,473,5,66,5.4,9.1,52,434,8.3,4,3,2,8.8,140.7,2015
Amari Cooper,LV,WR,16,130,72,55.4,1070,6,68,8.2,14.9,3,-3,-1.0,0,1,1,8.8,140.7,2015
Ted Ginn Jr.,CAR,WR,15,96,44,45.8,739,10,74,7.7,16.8,4,60,15.0,0,0,0,9.3,139.9,2015
Mike Evans,TB,WR,15,148,74,50.0,1206,3,68,8.1,16.3,0,0,0.0,0,1,1,9.1,136.6,2015
Randall Cobb,GB,WR,16,129,79,61.2,829,6,53,6.4,10.5,13,50,3.8,1,1,0,8.1,129.9,2015
Rueben Randle,NYG,WR,16,90,57,63.3,797,8,72,8.9,14.0,0,0,0.0,0,0,0,8.0,127.7,2015
Travis Benjamin,CLE,WR,16,125,68,54.4,966,5,61,7.7,14.2,4,12,3.0,0,3,2,7.7,123.8,2015
Kamar Aiken,BAL,WR,16,127,75,59.1,944,5,48,7.4,12.6,0,0,0.0,0,1,1,7.6,122.4,2015
Michael Floyd,ARI,WR,15,89,52,58.4,849,6,60,9.5,16.3,0,0,0.0,0,0,0,8.1,120.9,2015
Martavis Bryant,PIT,WR,11,92,50,54.3,765,6,88,8.3,15.3,5,37,7.4,1,1,1,10.9,120.2,2015
Golden Tate,DET,WR,16,128,90,70.3,813,6,43,6.4,9.0,6,41,6.8,0,1,1,7.5,119.4,2015
Willie Snead IV,NO,WR,15,101,69,68.3,984,3,63,9.7,14.3,0,0,0.0,0,2,1,7.6,114.4,2015
Pierre Garcon,WAS,WR,16,111,72,64.9,777,6,39,7.0,10.8,0,0,0.0,0,1,0,7.1,113.7,2015
Julian Edelman,NE,WR,9,88,61,69.3,692,7,59,7.9,11.3,3,23,7.7,0,1,1,12.4,111.5,2015
Donte Moncrief,IND,WR,16,105,64,61.0,733,6,33,7.0,11.5,0,0,0.0,0,0,0,6.8,109.3,2015
Marvin Jones Jr.,CIN,WR,16,103,65,63.1,816,4,47,7.9,12.6,5,33,6.6,0,0,0,6.8,108.9,2015
Markus Wheaton,PIT,WR,16,79,44,55.7,749,5,72,9.5,17.0,0,0,0.0,0,0,0,6.7,106.9,2015
Alshon Jeffery,CHI,WR,9,94,54,57.4,807,4,50,8.6,14.9,0,0,0.0,0,1,0,11.6,104.7,2015
Tyler Lockett,SEA,WR,16,69,51,73.9,664,6,49,9.6,13.0,5,20,4.0,0,3,1,6.4,102.4,2015
Terrance Williams,DAL,WR,16,93,52,55.9,840,3,42,9.0,16.2,0,0,0.0,0,1,0,6.4,102.0,2015
Anquan Boldin,SF,WR,14,111,69,62.2,789,4,51,7.1,11.4,0,0,0.0,0,1,1,7.2,100.9,2015
Jermaine Kearse,SEA,WR,16,68,49,72.1,685,5,50,10.1,14.0,0,0,0.0,0,1,0,6.2,98.5,2015
Stefon Diggs,MIN,WR,13,84,52,61.9,720,4,40,8.6,13.8,3,13,4.3,0,2,0,7.5,97.3,2015
Keenan Allen,LAC,WR,8,89,67,75.3,725,4,38,8.1,10.8,0,0,0.0,0,1,1,11.8,94.5,2015
Torrey Smith,SF,WR,16,62,33,53.2,663,4,76,10.7,20.1,0,0,0.0,0,0,0,5.8,92.3,2015
Rishard Matthews,MIA,WR,11,61,43,70.5,662,4,53,10.9,15.4,1,4,4.0,0,0,0,8.2,90.6,2015
Nate Washington,HOU,WR,14,94,47,50.0,658,4,49,7.0,14.0,0,0,0.0,0,0,0,6.4,89.8,2015
Kenny Britt,LAR,WR,16,72,36,50.0,681,3,60,9.5,18.9,0,0,0.0,0,0,0,5.4,86.1,2015
Steve Smith,BAL,WR,7,73,46,63.0,670,3,50,9.2,14.6,0,0,0.0,0,0,0,12.1,85.0,2015
Danny Amendola,NE,WR,14,87,65,74.7,648,3,41,7.4,10.0,2,11,5.5,0,1,1,6.0,83.34,2015
Dorial Green-Beckham,TEN,WR,16,67,32,47.8,549,4,47,8.2,17.2,0,0,0.0,0,0,0,5.1,80.9,2015
Seth Roberts,LV,WR,16,55,32,58.2,480,5,43,8.7,15.0,0,0,0.0,0,1,0,5.0,80.0,2015
Cole Beasley,DAL,WR,16,75,52,69.3,536,5,30,7.1,10.3,0,0,0.0,0,2,2,5.0,79.6,2015
Marques Colston,NO,WR,13,67,45,67.2,520,4,53,7.8,11.6,0,0,0.0,0,0,0,5.8,76.0,2015
DeSean Jackson,WAS,WR,10,49,30,61.2,528,4,77,10.8,17.6,0,0,0.0,0,1,1,7.5,74.8,2015
Jamison Crowder,WAS,WR,16,78,59,75.6,604,2,44,7.7,10.2,2,2,1.0,0,5,1,4.7,74.6,2015
Andre Johnson,IND,WR,16,77,41,53.2,503,4,35,6.5,12.3,0,0,0.0,0,0,0,4.6,74.3,2015
Vincent Jackson,TB,WR,10,62,33,53.2,543,3,36,8.8,16.5,0,0,0.0,0,0,0,7.4,74.3,2015
Corey Brown,CAR,WR,15,54,31,57.4,447,4,39,8.3,14.4,6,38,6.3,0,0,0,4.8,72.5,2015
Malcom Floyd,LAC,WR,15,69,30,43.5,561,3,70,8.1,18.7,0,0,0.0,0,1,1,4.8,72.1,2015
Robert Woods,BUF,WR,14,80,47,58.8,552,3,37,6.9,11.7,1,0,0.0,0,2,1,5.1,71.2,2015
DeVante Parker,MIA,WR,15,51,27,52.9,529,3,49,10.4,19.6,0,0,0.0,0,0,0,4.7,70.9,2015
Jerricho Cotchery,CAR,WR,14,54,39,72.2,485,3,59,9.0,12.4,1,16,16.0,0,0,0,4.9,68.1,2015
Cecil Shorts,HOU,WR,11,75,42,56.0,484,2,42,6.5,11.5,10,47,4.7,0,3,1,6.2,67.94,2015
Steve Johnson,LAC,WR,10,65,45,69.2,497,3,34,7.6,11.0,0,0,0.0,0,1,0,6.8,67.7,2015
Dwayne Harris,NYG,WR,15,57,36,63.2,396,4,38,6.9,11.0,2,12,6.0,0,3,0,4.3,64.8,2015
Dontrelle Inman,LAC,WR,14,63,35,55.6,486,3,68,7.7,13.9,0,0,0.0,0,2,1,4.6,64.6,2015
Brian Hartline,CLE,WR,12,77,46,59.7,523,2,41,6.8,11.4,0,0,0.0,0,1,0,5.4,64.3,2015
Kenny Stills,MIA,WR,16,63,27,42.9,440,3,47,7.0,16.3,0,0,0.0,0,0,0,3.9,62.0,2015
Kendall Wright,TEN,WR,10,60,36,60.0,408,3,52,6.8,11.3,5,17,3.4,0,0,0,6.0,60.5,2015
Mike Wallace,MIN,WR,16,72,39,54.2,473,2,34,6.6,12.1,1,6,6.0,0,0,0,3.7,59.9,2015
Albert Wilson,KC,WR,14,57,35,61.4,451,2,44,7.9,12.9,5,26,5.2,0,0,0,4.3,59.7,2015
Mohamed Sanu,CIN,WR,16,49,33,67.3,394,0,52,8.0,11.9,10,71,7.1,2,2,0,3.7,58.5,2015
Dez Bryant,DAL,WR,9,72,31,43.1,401,3,51,5.6,12.9,0,0,0.0,0,0,0,6.5,58.1,2015
Chris Hogan,BUF,WR,16,59,36,61.0,450,2,46,7.6,12.5,1,4,4.0,0,0,0,3.6,57.56,2015
Brandon Coleman,NO,WR,16,49,30,61.2,454,2,31,9.3,15.1,0,0,0.0,0,0,0,3.6,57.4,2015
Roddy White,ATL,WR,16,70,43,61.4,506,1,25,7.2,11.8,0,0,0.0,0,0,0,3.5,56.6,2015
Davante Adams,GB,WR,13,94,50,53.2,483,1,40,5.1,9.7,0,0,0.0,0,0,0,4.3,56.3,2015
Lance Moore,DET,WR,14,43,29,67.4,337,4,42,7.8,11.6,0,0,0.0,0,1,1,4.0,55.7,2015
Marquess Wilson,CHI,WR,11,51,28,54.9,464,1,50,9.1,16.6,0,0,0.0,0,0,0,4.8,52.4,2015
Brandon LaFell,NE,WR,11,74,37,50.0,515,0,54,7.0,13.9,2,9,4.5,0,0,0,4.8,52.4,2015
Leonard Hankerson,BUF,WR,10,46,26,56.5,327,3,55,7.1,12.6,0,0,0.0,0,0,0,5.1,50.7,2015
Harry Douglas,TEN,WR,14,72,36,50.0,411,2,51,5.7,11.4,1,-6,-6.0,0,2,1,3.6,50.5,2015
Josh Huff,PHI,WR,15,40,27,67.5,312,3,41,7.8,11.6,0,0,0.0,0,0,0,3.3,49.2,2015
Quinton Patton,SF,WR,16,57,30,52.6,394,1,41,6.9,13.1,1,5,5.0,0,0,0,2.9,45.9,2015
Jarius Wright,MIN,WR,16,50,34,68.0,442,0,52,8.8,13.0,1,29,29.0,0,1,1,2.8,45.1,2015
Riley Cooper,PHI,WR,16,41,21,51.2,327,2,62,8.0,15.6,0,0,0.0,0,0,0,2.8,44.7,2015
Andre Holmes,LV,WR,16,33,14,42.4,201,4,49,6.1,14.4,0,0,0.0,0,0,0,2.8,44.1,2015
Darrius Heyward-Bey,PIT,WR,16,39,21,53.8,314,2,66,8.1,15.0,0,0,0.0,0,0,0,2.7,43.4,2015
Chris Givens,BAL,WR,16,54,20,37.0,353,1,48,6.5,17.6,4,18,4.5,0,0,0,2.7,43.1,2015
Bryan Walters,JAX,WR,11,45,32,71.1,368,1,31,8.2,11.5,0,0,0.0,0,0,0,3.9,42.8,2015
J.J. Nelson,ARI,WR,11,27,11,40.7,299,2,64,11.1,27.2,1,0,0.0,0,1,1,3.6,39.9,2015
Ryan Grant,WAS,WR,16,42,23,54.8,268,2,35,6.4,11.7,0,0,0.0,0,0,0,2.4,38.8,2015
Keshawn Martin,NE,WR,9,37,24,64.9,269,2,39,7.3,11.2,1,6,6.0,0,1,1,4.2,37.5,2015
Jeremy Butler,BAL,WR,8,44,31,70.5,363,0,41,8.2,11.7,0,0,0.0,0,1,0,4.5,36.3,2015
Josh Bellamy,CHI,WR,16,34,19,55.9,224,2,48,6.6,11.8,0,0,0.0,0,0,0,2.2,34.4,2015
Jaelen Strong,HOU,WR,10,24,14,58.3,161,3,42,6.7,11.5,0,0,0.0,0,0,0,3.4,34.1,2015
Justin Hunter,TEN,WR,9,31,22,71.0,264,1,29,8.5,12.0,0,0,0.0,0,0,0,3.6,32.4,2015
Nelson Agholor,PHI,WR,13,44,23,52.3,283,1,53,6.4,12.3,0,0,0.0,0,1,1,2.5,32.3,2015
Adam Humphries,TB,WR,13,40,27,67.5,260,1,27,6.5,9.6,0,0,0.0,0,0,0,2.5,32.0,2015
Quincy Enunwa,NYJ,WR,12,46,22,47.8,315,0,48,6.8,14.3,0,0,0.0,0,0,0,2.6,31.5,2015
Percy Harvin,BUF,WR,5,30,19,63.3,218,1,51,7.3,11.5,5,31,6.2,0,1,0,6.2,30.9,2015
Eddie Royal,CHI,WR,9,50,37,74.0,238,1,30,4.8,6.4,1,-1,-1.0,0,1,0,3.3,29.7,2015
Marqise Lee,JAX,WR,10,32,15,46.9,191,1,30,6.0,12.7,5,38,7.6,0,0,0,2.9,28.9,2015
Miles Austin,PHI,WR,11,31,13,41.9,224,1,39,7.2,17.2,0,0,0.0,0,0,0,2.6,28.4,2015
Phillip Dorsett,IND,WR,11,39,18,46.2,225,1,35,5.8,12.5,3,17,5.7,0,2,1,2.6,28.2,2015
Nick Williams,ATL,WR,14,25,17,68.0,159,2,29,6.4,9.4,0,0,0.0,0,0,0,2.0,27.9,2015
Marc Mariani,CHI,WR,16,33,22,66.7,300,0,26,9.1,13.6,1,-3,-3.0,0,3,1,1.7,27.7,2015
Andrew Hawkins,CLE,WR,8,43,27,62.8,276,0,25,6.4,10.2,0,0,0.0,0,1,1,3.4,27.6,2015
De'Anthony Thomas,KC,WR,10,24,17,70.8,140,1,36,5.8,8.2,9,34,3.8,1,2,1,2.7,27.4,2015
Jeremy Kerley,NYJ,WR,16,26,16,61.5,152,2,25,5.8,9.5,0,0,0.0,0,1,0,1.7,27.2,2015
Ty Montgomery II,GB,WR,6,19,15,78.9,136,2,31,7.2,9.1,3,14,4.7,0,0,0,4.5,27.0,2015
Greg Jennings,MIA,WR,16,36,19,52.8,208,1,31,5.8,10.9,0,0,0.0,0,0,0,1.7,26.8,2015
Chris Conley,KC,WR,16,31,17,54.8,199,1,44,6.4,11.7,0,0,0.0,0,0,0,1.6,25.9,2015
Brice Butler,DAL,WR,7,26,12,46.2,258,0,67,9.9,21.5,0,0,0.0,0,0,0,3.7,25.8,2015
Rashad Ross,WAS,WR,13,13,8,61.5,184,1,71,14.2,23.0,0,0,0.0,0,0,0,1.9,24.4,2015
Stedman Bailey,LAR,WR,8,25,12,48.0,182,1,68,7.3,15.2,0,0,0.0,0,0,0,3.0,24.2,2015
Taylor Gabriel,CLE,WR,13,48,28,58.3,241,0,56,5.0,8.6,0,0,0.0,0,1,1,1.9,24.1,2015
Adam Thielen,MIN,WR,16,18,12,66.7,144,0,30,8.0,12.0,4,89,22.2,0,0,0,1.5,23.3,2015
Griff Whalen,IND,WR,14,27,20,74.1,214,1,38,7.9,10.7,0,0,0.0,0,5,3,1.5,21.4,2015
Rashad Greene,JAX,WR,9,35,19,54.3,93,2,18,2.7,4.9,0,0,0.0,0,1,0,2.4,21.3,2015
Chris Matthews,BAL,WR,13,25,13,52.0,151,1,21,6.0,11.6,0,0,0.0,0,0,0,1.6,21.1,2015
Jordan Norwood,DEN,WR,11,32,22,68.8,207,0,34,6.5,9.4,0,0,0.0,0,1,0,1.9,20.7,2015
Jaron Brown,ARI,WR,16,23,11,47.8,144,1,39,6.3,13.1,0,0,0.0,0,1,0,1.3,20.4,2015
Bennie Fowler,DEN,WR,16,25,16,64.0,203,0,41,8.1,12.7,0,0,0.0,0,0,0,1.3,20.3,2015
Louis Murphy,TB,WR,6,18,10,55.6,198,0,54,11.0,19.8,0,0,0.0,0,0,0,3.3,19.8,2015
Andre Caldwell,DEN,WR,14,22,10,45.5,72,2,24,3.3,7.2,1,3,3.0,0,0,0,1.4,19.5,2015
Justin Hardy,ATL,WR,9,36,21,58.3,194,0,23,5.4,9.2,0,0,0.0,0,0,0,2.2,19.4,2015
Donteea Dye,TB,WR,10,30,11,36.7,132,1,44,4.4,12.0,0,0,0.0,0,1,0,1.9,19.2,2015
Javontee Herndon,LAC,WR,8,33,24,72.7,195,0,21,5.9,8.1,1,13,13.0,0,2,1,2.4,18.8,2015
TJ Jones,DET,WR,10,18,10,55.6,132,1,29,7.3,13.2,1,-3,-3.0,0,2,1,1.7,16.9,2015
Kenbrell Thompkins,NYJ,WR,7,33,17,51.5,165,0,43,5.0,9.7,0,0,0.0,0,0,0,2.4,16.5,2015
Devin Smith,NYJ,WR,10,28,9,32.1,115,1,22,4.1,12.8,0,0,0.0,0,1,1,1.6,15.5,2015
Devin Street,DAL,WR,15,13,7,53.8,114,1,25,8.8,16.3,0,0,0.0,0,1,1,1.0,15.4,2015
Tyrell Williams,LAC,WR,7,6,2,33.3,90,1,80,15.0,45.0,0,0,0.0,0,0,0,2.1,15.0,2015
M White,NYG,WR,12,20,7,35.0,88,1,28,4.4,12.6,0,0,0.0,0,0,0,1.2,14.8,2015
Marlon Moore,CLE,WR,14,10,7,70.0,81,1,20,8.1,11.6,0,0,0.0,0,0,0,1.0,14.1,2015
Aaron Dobson,NE,WR,8,21,13,61.9,141,0,24,6.7,10.8,0,0,0.0,0,0,0,1.8,14.1,2015
Bruce Ellington,SF,WR,13,19,13,68.4,153,0,44,8.1,11.8,1,7,7.0,0,3,1,1.1,14.0,2015
Andre Roberts,WAS,WR,9,22,11,50.0,135,0,38,6.1,12.3,0,0,0.0,0,1,0,1.5,13.5,2015
Keith Mumphery,HOU,WR,16,32,14,43.8,129,0,26,4.0,9.2,0,0,0.0,0,3,0,0.8,12.9,2015
Ricardo Lockette,SEA,WR,8,7,4,57.1,69,1,40,9.9,17.2,0,0,0.0,0,0,0,1.6,12.9,2015
Charles Johnson,MIN,WR,11,13,9,69.2,127,0,35,9.8,14.1,0,0,0.0,0,0,0,1.2,12.7,2015
Cameron Meredith,CHI,WR,11,16,11,68.8,120,0,22,7.5,10.9,0,0,0.0,0,0,0,1.1,12.0,2015
Cody Latimer,DEN,WR,14,11,6,54.5,59,1,15,5.4,9.8,2,1,0.5,0,0,0,0.9,12.0,2015
Brandon Tate,CIN,WR,16,3,2,66.7,59,1,55,19.7,29.5,0,0,0.0,0,1,0,0.7,11.9,2015
Jason Avant,KC,WR,16,24,15,62.5,119,0,20,5.0,7.9,0,0,0.0,0,0,0,0.7,11.9,2015
Bradley Marquez,LAR,WR,16,23,14,60.9,119,0,14,5.2,8.5,0,0,0.0,0,0,0,0.7,11.9,2015
Marcus Easley,BUF,WR,13,3,1,33.3,58,1,58,19.3,58.0,0,0,0.0,0,0,0,0.9,11.8,2015
Darius Jennings,CLE,WR,4,21,14,66.7,117,0,16,5.6,8.4,0,0,0.0,0,1,0,2.9,11.7,2015
Jerome Simpson,SF,WR,6,19,5,26.3,54,1,16,2.8,10.8,0,0,0.0,0,0,0,1.9,11.4,2015
Marlon Brown,BAL,WR,10,30,14,46.7,112,0,22,3.7,8.0,0,0,0.0,0,0,0,1.1,11.2,2015
Michael Campanaro,BAL,WR,4,6,5,83.3,35,0,11,5.8,7.0,2,17,8.5,1,0,0,2.8,11.2,2015
Jared Abbrederis,GB,WR,10,16,9,56.2,111,0,32,6.9,12.3,0,0,0.0,0,1,0,1.1,11.1,2015
Lucky Whitehead,DAL,WR,15,8,6,75.0,16,0,8,2.0,2.7,10,107,10.7,0,1,1,0.7,10.3,2015
Brian Quick,LAR,WR,13,32,10,31.2,102,0,37,3.2,10.2,0,0,0.0,0,0,0,0.8,10.2,2015
Wes Welker,LAR,WR,8,22,13,59.1,102,0,14,4.6,7.8,0,0,0.0,0,0,0,1.3,10.2,2015
Brenton Bersin,CAR,WR,9,11,9,81.8,119,0,30,10.8,13.2,0,0,0.0,0,1,1,1.1,9.9,2015
Russell Shepard,TB,WR,13,9,3,33.3,28,1,18,3.1,9.3,0,0,0.0,0,0,0,0.7,8.8,2015
Deonte Thompson,CHI,WR,7,3,2,66.7,81,0,45,27.0,40.5,0,0,0.0,0,0,0,1.2,8.1,2015
Chris Owusu,NYJ,WR,3,13,6,46.2,80,0,43,6.2,13.3,0,0,0.0,0,0,0,2.7,8.0,2015
Jeff Janis,GB,WR,16,12,2,16.7,79,0,46,6.6,39.5,0,0,0.0,0,0,0,0.5,7.9,2015
Tre McBride,TEN,WR,7,4,2,50.0,8,1,7,2.0,4.0,1,8,8.0,0,1,0,1.1,7.6,2015
Corey Fuller,DET,WR,12,9,4,44.4,76,0,48,8.4,19.0,0,0,0.0,0,1,1,0.5,5.6,2015
Hakeem Nicks,NYG,WR,6,14,7,50.0,54,0,19,3.9,7.7,0,0,0.0,0,0,0,0.9,5.4,2015
Dwayne Bowe,CLE,WR,7,13,5,38.5,53,0,16,4.1,10.6,0,0,0.0,0,0,0,0.8,5.3,2015
Preston Parker,NYG,WR,2,12,5,41.7,43,0,15,3.6,8.6,0,0,0.0,0,0,0,2.2,4.3,2015
Kevin Smith,SEA,WR,7,5,3,60.0,43,0,21,8.6,14.3,0,0,0.0,0,0,0,0.6,4.3,2015
Greg Salas,BUF,WR,2,5,3,60.0,41,0,20,8.2,13.7,0,0,0.0,0,0,0,2.0,4.1,2015
Terrelle Pryor,CLE,WR,3,8,1,12.5,42,0,42,5.2,42.0,1,-1,-1.0,0,0,0,1.4,4.1,2015
Paul Richardson,SEA,WR,1,1,1,100.0,40,0,40,40.0,40.0,0,0,0.0,0,0,0,4.0,4.0,2015
Jeremy Ross,LV,WR,11,14,9,64.3,88,0,18,6.3,9.8,1,2,2.0,0,4,3,0.3,3.0,2015
Andrew Turzilli,TEN,WR,3,2,2,100.0,25,0,18,12.5,12.5,0,0,0.0,0,0,0,0.8,2.5,2015
Marquise Goodwin,BUF,WR,2,2,2,100.0,24,0,14,12.0,12.0,0,0,0.0,0,0,0,1.2,2.4,2015
TJ Graham,NO,WR,4,4,4,100.0,24,0,18,6.0,6.0,0,0,0.0,0,0,0,0.6,2.4,2015
Vincent Brown,LAC,WR,1,2,1,50.0,22,0,22,11.0,22.0,0,0,0.0,0,0,0,2.2,2.2,2015
Geremy Davis,NYG,WR,10,3,2,66.7,21,0,16,7.0,10.5,0,0,0.0,0,0,0,0.2,2.1,2015
DeAndrew White,SF,WR,4,2,2,100.0,18,0,10,9.0,9.0,0,0,0.0,0,1,0,0.4,1.8,2015
Tyler Murphy,PIT,WR,2,1,1,100.0,16,0,16,16.0,16.0,0,0,0.0,0,0,0,0.8,1.6,2015
Eric Weems,ATL,WR,16,1,1,100.0,11,0,11,11.0,11.0,1,4,4.0,0,0,0,0.1,1.5,2015
Mario Alford,CIN,WR,1,1,1,100.0,15,0,15,15.0,15.0,0,0,0.0,0,0,0,1.5,1.5,2015
Chandler Worthy,HOU,WR,3,4,3,75.0,14,0,12,3.5,4.7,0,0,0.0,0,1,0,0.5,1.4,2015
Kasen Williams,SEA,WR,2,1,1,100.0,8,0,8,8.0,8.0,1,5,5.0,0,0,0,0.6,1.3,2015
Jonathan Krause,PHI,WR,2,4,2,50.0,11,0,7,2.8,5.5,0,0,0.0,0,0,0,0.6,1.1,2015
Sammie Coates,PIT,WR,7,2,1,50.0,11,0,11,5.5,11.0,0,0,0.0,0,0,0,0.2,1.1,2015
Ben Edwards,NYG,WR,2,2,1,50.0,9,0,9,4.5,9.0,0,0,0.0,0,0,0,0.4,0.9,2015
Tony Washington,JAX,WR,4,0,0,0.0,0,0,0,0.0,0.0,1,8,8.0,0,0,0,0.2,0.8,2015
Rod Streater,LV,WR,1,1,1,100.0,8,0,8,8.0,8.0,0,0,0.0,0,0,0,0.8,0.8,2015
Damaris Johnson,TEN,WR,1,0,0,0.0,0,0,0,0.0,0.0,1,6,6.0,0,0,0,0.6,0.6,2015
Brittan Golden,ARI,WR,14,1,1,100.0,5,0,5,5.0,5.0,0,0,0.0,0,1,0,0.0,0.5,2015
Seyi Ajirotutu,PHI,WR,13,3,1,33.3,4,0,4,1.3,4.0,0,0,0.0,0,0,0,0.0,0.4,2015
Devin Hester,ATL,WR,5,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Kaelin Clay,BAL,WR,7,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Dezmin Lewis,BUF,WR,1,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Kevin Norwood,CAR,WR,1,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Rannell Hall,CLE,WR,1,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Vince Mayle,DAL,WR,1,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Quan Bray,IND,WR,9,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,3,0,0.0,0.0,2015
Neal Sterling,JAX,WR,9,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Saalim Hakim,KC,WR,2,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Nick Toon,LAR,WR,1,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Tony Lippett,MIA,WR,9,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Matt Hazel,MIA,WR,5,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Matthew Slater,NE,WR,16,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Joseph Morgan,BAL,WR,2,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Seantavious Jones,NO,WR,3,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Walter Powell,BUF,WR,3,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Evan Spencer,TB,WR,1,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Rico Richardson,TEN,WR,5,5,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Je'Ron Hamm,SF,WR,1,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,2015
Chris Harper,NE,WR,5,3,1,33.3,6,0,6,2.0,6.0,0,0,0.0,0,1,1,-0.3,-1.4,2015
