Name,Team,Position,Games,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points,Year
Antonio Brown,PIT,WR,16,193,136,70.5,1834,10,59,9.5,13.5,3,28,9.3,0,3,2,15.4,246.2,2015
Julio Jones,ATL,WR,16,203,136,67.0,1871,8,70,9.2,13.8,0,0,0.0,2,3,1,15.3,245.1,2015
Brandon Marshall,NYJ,WR,16,173,109,63.0,1502,14,69,8.7,13.8,0,0,0.0,0,3,2,14.4,230.2,2015
Allen Robinson II,JAX,WR,16,151,80,53.0,1400,14,90,9.3,17.5,0,0,0.0,0,0,0,14.0,224.0,2015
Odell Beckham Jr.,NYG,WR,15,158,96,60.8,1450,13,87,9.2,15.1,1,3,3.0,0,2,0,14.9,223.3,2015
DeAndre Hopkins,HOU,WR,16,192,111,57.8,1521,11,61,7.9,13.7,0,0,0.0,0,1,0,13.8,220.1,2015
Doug Baldwin,SEA,WR,16,103,78,75.7,1069,14,80,10.4,13.7,0,0,0.0,0,1,0,11.9,190.9,2015
A.J. Green,CIN,WR,16,132,86,65.2,1297,10,80,9.8,15.1,0,0,0.0,0,1,1,11.7,187.7,2015
Calvin Johnson,DET,WR,16,149,88,59.1,1214,9,57,8.1,13.8,0,0,0.0,0,1,1,10.8,173.4,2015
Eric Decker,NYJ,WR,15,132,80,60.6,1027,12,35,7.8,12.8,0,0,0.0,0,1,1,11.5,172.7,2015
Larry Fitzgerald,ARI,WR,16,145,109,75.2,1215,9,44,8.4,11.1,0,0,0.0,0,3,2,10.7,171.5,2015
Brandin Cooks,NO,WR,16,129,84,65.1,1138,9,71,8.8,13.5,8,18,2.2,0,1,0,10.6,169.6,2015
Demaryius Thomas,DEN,WR,16,177,105,59.3,1304,6,72,7.4,12.4,0,0,0.0,0,2,2,10.2,162.4,2015
Allen Hurns,JAX,WR,15,105,64,61.0,1031,10,80,9.8,16.1,0,0,0.0,0,2,1,10.7,161.1,2015
