Name,Team,Position,Games,Targets,Receptions,Percentage,Yards,Touchdowns,Long,Yards_per_target,Yards_per_reception,Attempts,Rushing_yards,Average_rushing_yards,Rushing_touchdown,Fumbles,Lost_yards,Fantasy_points_per_game,Fantasy_points,Year
Tyreek Hill,KC,WR,16,137,87,63.5,1479,12,75,10.8,17.0,22,151,6.9,1,0,0,15.1,241.0,2018
Antonio Brown,PIT,WR,15,168,104,61.9,1297,15,78,7.7,12.5,0,0,0.0,0,0,0,14.6,219.7,2018
Davante Adams,GB,WR,15,169,111,65.7,1386,13,57,8.2,12.5,0,0,0.0,0,0,0,14.6,218.6,2018
DeAndre Hopkins,HOU,WR,16,163,115,70.6,1572,11,49,9.6,13.7,1,-7,-7.0,0,2,2,13.7,218.5,2018
Julio Jones,ATL,WR,16,170,113,66.5,1677,8,58,9.9,14.8,2,12,6.0,0,2,2,13.3,212.9,2018
Mike Evans,TB,WR,16,139,86,61.9,1524,8,72,11.0,17.7,0,0,0.0,1,2,1,12.8,204.4,2018
Adam Thielen,MIN,WR,16,155,113,72.9,1373,9,68,8.9,12.2,5,30,6.0,0,1,1,12.1,194.3,2018
Michael Thomas,NO,WR,16,147,125,85.0,1405,9,72,9.6,11.2,0,0,0.0,0,2,2,11.9,190.5,2018
JuJu Smith-Schuster,PIT,WR,16,166,111,66.9,1426,7,97,8.6,12.8,1,13,13.0,0,1,1,11.6,185.9,2018
Robert Woods,LAR,WR,16,130,86,66.2,1219,6,39,9.4,14.2,19,157,8.3,1,0,0,11.2,179.6,2018
Tyler Lockett,SEA,WR,16,71,57,80.3,965,10,52,13.6,16.9,13,69,5.3,0,2,0,10.3,165.4,2018
Stefon Diggs,MIN,WR,15,150,102,68.0,1021,9,75,6.8,10.0,10,62,6.2,0,0,0,11.0,164.3,2018
Brandin Cooks,LAR,WR,16,117,80,68.4,1204,5,57,10.3,15.0,10,68,6.8,1,1,0,10.2,163.2,2018
Keenan Allen,LAC,WR,16,136,97,71.3,1196,6,54,8.8,12.3,9,75,8.3,0,3,1,10.2,163.1,2018
T.Y. Hilton,IND,WR,14,120,76,63.3,1270,6,68,10.6,16.7,0,0,0.0,0,0,0,11.6,163.0,2018
Odell Beckham Jr.,NYG,WR,12,124,77,62.1,1052,6,51,8.5,13.7,5,19,3.8,0,2,1,12.8,153.34,2018
Tyler Boyd,CIN,WR,14,108,76,70.4,1028,7,49,9.5,13.5,2,3,1.5,0,0,0,10.4,145.1,2018
Calvin Ridley,ATL,WR,16,92,64,69.6,821,10,75,8.9,12.8,6,27,4.5,0,2,1,8.9,142.8,2018
Amari Cooper,DAL,WR,15,107,75,70.1,1004,7,90,9.4,13.4,2,20,10.0,0,2,2,9.4,140.4,2018
Mike Williams,LAC,WR,16,66,43,65.2,664,10,55,10.1,15.4,7,28,4.0,1,0,0,8.6,137.2,2018
Kenny Golladay,DET,WR,15,119,70,58.8,1063,5,60,8.9,15.2,1,8,8.0,0,1,0,9.1,137.1,2018
Jarvis Landry,CLE,WR,16,149,81,54.4,976,4,51,6.6,12.0,3,60,20.0,1,1,1,8.5,136.12,2018
Julian Edelman,NE,WR,12,108,74,68.5,850,6,36,7.9,11.5,9,107,11.9,0,1,0,11.1,133.42,2018
Emmanuel Sanders,DEN,WR,12,98,71,72.4,868,4,64,8.9,12.2,4,53,13.2,1,1,0,10.6,127.22,2018
Chris Godwin,TB,WR,16,95,59,62.1,842,7,48,8.9,14.3,0,0,0.0,0,4,1,7.9,126.2,2018
Alshon Jeffery,PHI,WR,13,92,65,70.7,843,6,52,9.2,13.0,0,0,0.0,0,1,0,9.3,120.3,2018
Corey Davis,TEN,WR,16,112,65,58.0,891,4,51,8.0,13.7,6,55,9.2,0,1,0,7.4,118.6,2018
Larry Fitzgerald,ARI,WR,16,112,69,61.6,734,6,37,6.6,10.6,0,0,0.0,0,0,0,7.3,116.68,2018
Sterling Shepard,NYG,WR,16,107,66,61.7,872,4,58,8.1,13.2,3,33,11.0,0,1,0,7.3,116.5,2018
Mohamed Sanu,ATL,WR,16,94,66,70.2,838,4,44,8.9,12.7,7,44,6.3,0,2,1,7.3,116.4,2018
Adam Humphries,TB,WR,16,105,76,72.4,816,5,51,7.8,10.7,2,11,5.5,0,2,0,7.0,112.7,2018
DeSean Jackson,TB,WR,12,74,41,55.4,774,4,75,10.5,18.9,6,29,4.8,1,0,0,9.2,110.3,2018
Zay Jones,BUF,WR,16,102,56,54.9,652,7,57,6.4,11.6,1,0,0.0,0,1,0,6.8,109.2,2018
